Class,CapShape,CapSurface,CapColor,Bruises,Odor,GillAttachment,GillSpacing
edible,flat,smooth,yellow,bruises,anise,free,crowded
edible,flat,smooth,yellow,bruises,anise,free,crowded
edible,flat,smooth,yellow,bruises,anise,free,crowded
edible,flat,fibrous,white,bruises,almond,free,crowded
edible,flat,fibrous,white,bruises,almond,free,crowded
edible,flat,fibrous,white,bruises,almond,free,crowded
edible,flat,fibrous,white,bruises,almond,free,crowded
edible,flat,fibrous,white,bruises,almond,free,crowded
edible,flat,fibrous,white,bruises,almond,free,crowded
edible,flat,fibrous,white,bruises,anise,free,crowded
edible,flat,fibrous,white,bruises,anise,free,crowded
edible,flat,fibrous,white,bruises,anise,free,crowded
edible,flat,fibrous,white,bruises,anise,free,crowded
edible,flat,fibrous,white,bruises,anise,free,crowded
edible,flat,fibrous,white,bruises,anise,free,crowded
edible,flat,fibrous,yellow,bruises,almond,free,crowded
edible,flat,fibrous,yellow,bruises,almond,free,crowded
edible,flat,fibrous,yellow,bruises,almond,free,crowded
edible,flat,fibrous,yellow,bruises,almond,free,crowded
edible,flat,fibrous,yellow,bruises,almond,free,crowded
edible,flat,fibrous,yellow,bruises,almond,free,crowded
edible,flat,fibrous,yellow,bruises,anise,free,crowded
edible,flat,fibrous,yellow,bruises,anise,free,crowded
edible,flat,fibrous,yellow,bruises,anise,free,crowded
edible,flat,fibrous,yellow,bruises,anise,free,crowded
edible,flat,fibrous,yellow,bruises,anise,free,crowded
edible,flat,fibrous,yellow,bruises,anise,free,crowded
edible,bell,smooth,white,bruises,almond,free,close
edible,bell,smooth,white,bruises,almond,free,close
edible,bell,smooth,white,bruises,almond,free,close
edible,bell,smooth,white,bruises,almond,free,close
edible,bell,smooth,white,bruises,almond,free,close
edible,bell,smooth,white,bruises,almond,free,close
edible,bell,smooth,white,bruises,almond,free,close
edible,bell,smooth,white,bruises,almond,free,close
edible,bell,smooth,white,bruises,almond,free,close
edible,bell,smooth,white,bruises,almond,free,close
edible,bell,smooth,white,bruises,almond,free,close
edible,bell,smooth,white,bruises,almond,free,close
edible,bell,smooth,white,bruises,almond,free,close
edible,bell,smooth,white,bruises,almond,free,close
edible,bell,smooth,white,bruises,almond,free,close
edible,bell,smooth,white,bruises,almond,free,close
edible,bell,smooth,white,bruises,almond,free,close
edible,bell,smooth,white,bruises,almond,free,close
edible,bell,smooth,white,bruises,almond,free,close
edible,bell,smooth,white,bruises,almond,free,close
edible,bell,smooth,white,bruises,almond,free,close
edible,bell,smooth,white,bruises,almond,free,close
edible,bell,smooth,white,bruises,almond,free,close
edible,bell,smooth,white,bruises,almond,free,close
edible,bell,smooth,white,bruises,almond,free,close
edible,bell,smooth,white,bruises,almond,free,close
edible,bell,smooth,white,bruises,almond,free,close
edible,bell,smooth,white,bruises,almond,free,close
edible,bell,smooth,white,bruises,almond,free,close
edible,bell,smooth,white,bruises,almond,free,close
edible,bell,smooth,white,bruises,almond,free,close
edible,bell,smooth,white,bruises,almond,free,close
edible,bell,smooth,white,bruises,anise,free,close
edible,bell,smooth,white,bruises,anise,free,close
edible,bell,smooth,white,bruises,anise,free,close
edible,bell,smooth,white,bruises,anise,free,close
edible,bell,smooth,white,bruises,anise,free,close
edible,bell,smooth,white,bruises,anise,free,close
edible,bell,smooth,white,bruises,anise,free,close
edible,bell,smooth,white,bruises,anise,free,close
edible,bell,smooth,white,bruises,anise,free,close
edible,bell,smooth,white,bruises,anise,free,close
edible,bell,smooth,white,bruises,anise,free,close
edible,bell,smooth,white,bruises,anise,free,close
edible,bell,smooth,white,bruises,anise,free,close
edible,bell,smooth,white,bruises,anise,free,close
edible,bell,smooth,white,bruises,anise,free,close
edible,bell,smooth,white,bruises,anise,free,close
edible,bell,smooth,white,bruises,anise,free,close
edible,bell,smooth,white,bruises,anise,free,close
edible,bell,smooth,white,bruises,anise,free,close
edible,bell,smooth,white,bruises,anise,free,close
edible,bell,smooth,white,bruises,anise,free,close
edible,bell,smooth,white,bruises,anise,free,close
edible,bell,smooth,white,bruises,anise,free,close
edible,bell,smooth,white,bruises,anise,free,close
edible,bell,smooth,white,bruises,anise,free,close
edible,bell,smooth,white,bruises,anise,free,close
edible,bell,smooth,white,bruises,anise,free,close
edible,bell,smooth,white,bruises,anise,free,close
edible,bell,smooth,white,bruises,anise,free,close
edible,bell,smooth,white,bruises,anise,free,close
edible,bell,smooth,white,bruises,anise,free,close
edible,bell,smooth,white,bruises,anise,free,close
edible,bell,smooth,yellow,bruises,almond,free,close
edible,bell,smooth,yellow,bruises,almond,free,close
edible,bell,smooth,yellow,bruises,almond,free,close
edible,bell,smooth,yellow,bruises,almond,free,close
edible,bell,smooth,yellow,bruises,almond,free,close
edible,bell,smooth,yellow,bruises,almond,free,close
edible,bell,smooth,yellow,bruises,almond,free,close
edible,bell,smooth,yellow,bruises,almond,free,close
edible,bell,smooth,yellow,bruises,almond,free,close
edible,bell,smooth,yellow,bruises,almond,free,close
edible,bell,smooth,yellow,bruises,almond,free,close
edible,bell,smooth,yellow,bruises,almond,free,close
edible,bell,smooth,yellow,bruises,almond,free,close
edible,bell,smooth,yellow,bruises,almond,free,close
edible,bell,smooth,yellow,bruises,almond,free,close
edible,bell,smooth,yellow,bruises,almond,free,close
edible,bell,smooth,yellow,bruises,almond,free,close
edible,bell,smooth,yellow,bruises,almond,free,close
edible,bell,smooth,yellow,bruises,almond,free,close
edible,bell,smooth,yellow,bruises,almond,free,close
edible,bell,smooth,yellow,bruises,almond,free,close
edible,bell,smooth,yellow,bruises,almond,free,close
edible,bell,smooth,yellow,bruises,almond,free,close
edible,bell,smooth,yellow,bruises,almond,free,close
edible,bell,smooth,yellow,bruises,almond,free,close
edible,bell,smooth,yellow,bruises,almond,free,close
edible,bell,smooth,yellow,bruises,almond,free,close
edible,bell,smooth,yellow,bruises,almond,free,close
edible,bell,smooth,yellow,bruises,almond,free,close
edible,bell,smooth,yellow,bruises,almond,free,close
edible,bell,smooth,yellow,bruises,almond,free,close
edible,bell,smooth,yellow,bruises,almond,free,close
edible,bell,smooth,yellow,bruises,anise,free,close
edible,bell,smooth,yellow,bruises,anise,free,close
edible,bell,smooth,yellow,bruises,anise,free,close
edible,bell,smooth,yellow,bruises,anise,free,close
edible,bell,smooth,yellow,bruises,anise,free,close
edible,bell,smooth,yellow,bruises,anise,free,close
edible,bell,smooth,yellow,bruises,anise,free,close
edible,bell,smooth,yellow,bruises,anise,free,close
edible,bell,smooth,yellow,bruises,anise,free,close
edible,bell,smooth,yellow,bruises,anise,free,close
edible,bell,smooth,yellow,bruises,anise,free,close
edible,bell,smooth,yellow,bruises,anise,free,close
edible,bell,smooth,yellow,bruises,anise,free,close
edible,bell,smooth,yellow,bruises,anise,free,close
edible,bell,smooth,yellow,bruises,anise,free,close
edible,bell,smooth,yellow,bruises,anise,free,close
edible,bell,smooth,yellow,bruises,anise,free,close
edible,bell,smooth,yellow,bruises,anise,free,close
edible,bell,smooth,yellow,bruises,anise,free,close
edible,bell,smooth,yellow,bruises,anise,free,close
edible,bell,smooth,yellow,bruises,anise,free,close
edible,bell,smooth,yellow,bruises,anise,free,close
edible,bell,smooth,yellow,bruises,anise,free,close
edible,bell,smooth,yellow,bruises,anise,free,close
edible,bell,smooth,yellow,bruises,anise,free,close
edible,bell,smooth,yellow,bruises,anise,free,close
edible,bell,smooth,yellow,bruises,anise,free,close
edible,bell,smooth,yellow,bruises,anise,free,close
edible,bell,smooth,yellow,bruises,anise,free,close
edible,bell,smooth,yellow,bruises,anise,free,close
edible,bell,smooth,yellow,bruises,anise,free,close
edible,bell,smooth,yellow,bruises,anise,free,close
edible,bell,scaly,white,bruises,almond,free,close
edible,bell,scaly,white,bruises,almond,free,close
edible,bell,scaly,white,bruises,almond,free,close
edible,bell,scaly,white,bruises,almond,free,close
edible,bell,scaly,white,bruises,almond,free,close
edible,bell,scaly,white,bruises,almond,free,close
edible,bell,scaly,white,bruises,almond,free,close
edible,bell,scaly,white,bruises,almond,free,close
edible,bell,scaly,white,bruises,almond,free,close
edible,bell,scaly,white,bruises,almond,free,close
edible,bell,scaly,white,bruises,almond,free,close
edible,bell,scaly,white,bruises,almond,free,close
edible,bell,scaly,white,bruises,almond,free,close
edible,bell,scaly,white,bruises,almond,free,close
edible,bell,scaly,white,bruises,almond,free,close
edible,bell,scaly,white,bruises,almond,free,close
edible,bell,scaly,white,bruises,almond,free,close
edible,bell,scaly,white,bruises,almond,free,close
edible,bell,scaly,white,bruises,almond,free,close
edible,bell,scaly,white,bruises,almond,free,close
edible,bell,scaly,white,bruises,almond,free,close
edible,bell,scaly,white,bruises,almond,free,close
edible,bell,scaly,white,bruises,almond,free,close
edible,bell,scaly,white,bruises,almond,free,close
edible,bell,scaly,white,bruises,almond,free,close
edible,bell,scaly,white,bruises,almond,free,close
edible,bell,scaly,white,bruises,almond,free,close
edible,bell,scaly,white,bruises,almond,free,close
edible,bell,scaly,white,bruises,almond,free,close
edible,bell,scaly,white,bruises,almond,free,close
edible,bell,scaly,white,bruises,almond,free,close
edible,bell,scaly,white,bruises,almond,free,close
edible,bell,scaly,white,bruises,anise,free,close
edible,bell,scaly,white,bruises,anise,free,close
edible,bell,scaly,white,bruises,anise,free,close
edible,bell,scaly,white,bruises,anise,free,close
edible,bell,scaly,white,bruises,anise,free,close
edible,bell,scaly,white,bruises,anise,free,close
edible,bell,scaly,white,bruises,anise,free,close
edible,bell,scaly,white,bruises,anise,free,close
edible,bell,scaly,white,bruises,anise,free,close
edible,bell,scaly,white,bruises,anise,free,close
edible,bell,scaly,white,bruises,anise,free,close
edible,bell,scaly,white,bruises,anise,free,close
edible,bell,scaly,white,bruises,anise,free,close
edible,bell,scaly,white,bruises,anise,free,close
edible,bell,scaly,white,bruises,anise,free,close
edible,bell,scaly,white,bruises,anise,free,close
edible,bell,scaly,white,bruises,anise,free,close
edible,bell,scaly,white,bruises,anise,free,close
edible,bell,scaly,white,bruises,anise,free,close
edible,bell,scaly,white,bruises,anise,free,close
edible,bell,scaly,white,bruises,anise,free,close
edible,bell,scaly,white,bruises,anise,free,close
edible,bell,scaly,white,bruises,anise,free,close
edible,bell,scaly,white,bruises,anise,free,close
edible,bell,scaly,white,bruises,anise,free,close
edible,bell,scaly,white,bruises,anise,free,close
edible,bell,scaly,white,bruises,anise,free,close
edible,bell,scaly,white,bruises,anise,free,close
edible,bell,scaly,white,bruises,anise,free,close
edible,bell,scaly,white,bruises,anise,free,close
edible,bell,scaly,white,bruises,anise,free,close
edible,bell,scaly,white,bruises,anise,free,close
edible,bell,scaly,yellow,bruises,almond,free,close
edible,bell,scaly,yellow,bruises,almond,free,close
edible,bell,scaly,yellow,bruises,almond,free,close
edible,bell,scaly,yellow,bruises,almond,free,close
edible,bell,scaly,yellow,bruises,almond,free,close
edible,bell,scaly,yellow,bruises,almond,free,close
edible,bell,scaly,yellow,bruises,almond,free,close
edible,bell,scaly,yellow,bruises,almond,free,close
edible,bell,scaly,yellow,bruises,almond,free,close
edible,bell,scaly,yellow,bruises,almond,free,close
edible,bell,scaly,yellow,bruises,almond,free,close
edible,bell,scaly,yellow,bruises,almond,free,close
edible,bell,scaly,yellow,bruises,almond,free,close
edible,bell,scaly,yellow,bruises,almond,free,close
edible,bell,scaly,yellow,bruises,almond,free,close
edible,bell,scaly,yellow,bruises,almond,free,close
edible,bell,scaly,yellow,bruises,almond,free,close
edible,bell,scaly,yellow,bruises,almond,free,close
edible,bell,scaly,yellow,bruises,almond,free,close
edible,bell,scaly,yellow,bruises,almond,free,close
edible,bell,scaly,yellow,bruises,almond,free,close
edible,bell,scaly,yellow,bruises,almond,free,close
edible,bell,scaly,yellow,bruises,almond,free,close
edible,bell,scaly,yellow,bruises,almond,free,close
edible,bell,scaly,yellow,bruises,almond,free,close
edible,bell,scaly,yellow,bruises,almond,free,close
edible,bell,scaly,yellow,bruises,almond,free,close
edible,bell,scaly,yellow,bruises,almond,free,close
edible,bell,scaly,yellow,bruises,almond,free,close
edible,bell,scaly,yellow,bruises,almond,free,close
edible,bell,scaly,yellow,bruises,almond,free,close
edible,bell,scaly,yellow,bruises,almond,free,close
edible,bell,scaly,yellow,bruises,anise,free,close
edible,bell,scaly,yellow,bruises,anise,free,close
edible,bell,scaly,yellow,bruises,anise,free,close
edible,bell,scaly,yellow,bruises,anise,free,close
edible,bell,scaly,yellow,bruises,anise,free,close
edible,bell,scaly,yellow,bruises,anise,free,close
edible,bell,scaly,yellow,bruises,anise,free,close
edible,bell,scaly,yellow,bruises,anise,free,close
edible,bell,scaly,yellow,bruises,anise,free,close
edible,bell,scaly,yellow,bruises,anise,free,close
edible,bell,scaly,yellow,bruises,anise,free,close
edible,bell,scaly,yellow,bruises,anise,free,close
edible,bell,scaly,yellow,bruises,anise,free,close
edible,bell,scaly,yellow,bruises,anise,free,close
edible,bell,scaly,yellow,bruises,anise,free,close
edible,bell,scaly,yellow,bruises,anise,free,close
edible,bell,scaly,yellow,bruises,anise,free,close
edible,bell,scaly,yellow,bruises,anise,free,close
edible,bell,scaly,yellow,bruises,anise,free,close
edible,bell,scaly,yellow,bruises,anise,free,close
edible,bell,scaly,yellow,bruises,anise,free,close
edible,bell,scaly,yellow,bruises,anise,free,close
edible,bell,scaly,yellow,bruises,anise,free,close
edible,bell,scaly,yellow,bruises,anise,free,close
edible,bell,scaly,yellow,bruises,anise,free,close
edible,bell,scaly,yellow,bruises,anise,free,close
edible,bell,scaly,yellow,bruises,anise,free,close
edible,bell,scaly,yellow,bruises,anise,free,close
edible,bell,scaly,yellow,bruises,anise,free,close
edible,bell,scaly,yellow,bruises,anise,free,close
edible,bell,scaly,yellow,bruises,anise,free,close
edible,bell,scaly,yellow,bruises,anise,free,close
edible,convex,smooth,white,bruises,almond,free,close
edible,convex,smooth,white,bruises,almond,free,close
edible,convex,smooth,white,bruises,almond,free,close
edible,convex,smooth,white,bruises,almond,free,close
edible,convex,smooth,white,bruises,almond,free,close
edible,convex,smooth,white,bruises,almond,free,close
edible,convex,smooth,white,bruises,almond,free,close
edible,convex,smooth,white,bruises,almond,free,close
edible,convex,smooth,white,bruises,almond,free,close
edible,convex,smooth,white,bruises,almond,free,close
edible,convex,smooth,white,bruises,almond,free,close
edible,convex,smooth,white,bruises,almond,free,close
edible,convex,smooth,white,bruises,almond,free,close
edible,convex,smooth,white,bruises,almond,free,close
edible,convex,smooth,white,bruises,almond,free,close
edible,convex,smooth,white,bruises,almond,free,close
edible,convex,smooth,white,bruises,almond,free,close
edible,convex,smooth,white,bruises,almond,free,close
edible,convex,smooth,white,bruises,almond,free,close
edible,convex,smooth,white,bruises,almond,free,close
edible,convex,smooth,white,bruises,almond,free,close
edible,convex,smooth,white,bruises,almond,free,close
edible,convex,smooth,white,bruises,almond,free,close
edible,convex,smooth,white,bruises,almond,free,close
edible,convex,smooth,white,bruises,almond,free,close
edible,convex,smooth,white,bruises,almond,free,close
edible,convex,smooth,white,bruises,almond,free,close
edible,convex,smooth,white,bruises,almond,free,close
edible,convex,smooth,white,bruises,almond,free,close
edible,convex,smooth,white,bruises,almond,free,close
edible,convex,smooth,white,bruises,almond,free,close
edible,convex,smooth,white,bruises,almond,free,close
edible,convex,smooth,white,bruises,anise,free,close
edible,convex,smooth,white,bruises,anise,free,close
edible,convex,smooth,white,bruises,anise,free,close
edible,convex,smooth,white,bruises,anise,free,close
edible,convex,smooth,white,bruises,anise,free,close
edible,convex,smooth,white,bruises,anise,free,close
edible,convex,smooth,white,bruises,anise,free,close
edible,convex,smooth,white,bruises,anise,free,close
edible,convex,smooth,white,bruises,anise,free,close
edible,convex,smooth,white,bruises,anise,free,close
edible,convex,smooth,white,bruises,anise,free,close
edible,convex,smooth,white,bruises,anise,free,close
edible,convex,smooth,white,bruises,anise,free,close
edible,convex,smooth,white,bruises,anise,free,close
edible,convex,smooth,white,bruises,anise,free,close
edible,convex,smooth,white,bruises,anise,free,close
edible,convex,smooth,white,bruises,anise,free,close
edible,convex,smooth,white,bruises,anise,free,close
edible,convex,smooth,white,bruises,anise,free,close
edible,convex,smooth,white,bruises,anise,free,close
edible,convex,smooth,white,bruises,anise,free,close
edible,convex,smooth,white,bruises,anise,free,close
edible,convex,smooth,white,bruises,anise,free,close
edible,convex,smooth,white,bruises,anise,free,close
edible,convex,smooth,white,bruises,anise,free,close
edible,convex,smooth,white,bruises,anise,free,close
edible,convex,smooth,white,bruises,anise,free,close
edible,convex,smooth,white,bruises,anise,free,close
edible,convex,smooth,white,bruises,anise,free,close
edible,convex,smooth,white,bruises,anise,free,close
edible,convex,smooth,white,bruises,anise,free,close
edible,convex,smooth,white,bruises,anise,free,close
edible,convex,smooth,yellow,bruises,almond,free,close
edible,convex,smooth,yellow,bruises,almond,free,close
edible,convex,smooth,yellow,bruises,almond,free,close
edible,convex,smooth,yellow,bruises,almond,free,close
edible,convex,smooth,yellow,bruises,almond,free,close
edible,convex,smooth,yellow,bruises,almond,free,close
edible,convex,smooth,yellow,bruises,almond,free,close
edible,convex,smooth,yellow,bruises,almond,free,close
edible,convex,smooth,yellow,bruises,almond,free,close
edible,convex,smooth,yellow,bruises,almond,free,close
edible,convex,smooth,yellow,bruises,almond,free,close
edible,convex,smooth,yellow,bruises,almond,free,close
edible,convex,smooth,yellow,bruises,almond,free,close
edible,convex,smooth,yellow,bruises,almond,free,close
edible,convex,smooth,yellow,bruises,almond,free,close
edible,convex,smooth,yellow,bruises,almond,free,close
edible,convex,smooth,yellow,bruises,almond,free,close
edible,convex,smooth,yellow,bruises,almond,free,close
edible,convex,smooth,yellow,bruises,almond,free,close
edible,convex,smooth,yellow,bruises,almond,free,close
edible,convex,smooth,yellow,bruises,almond,free,close
edible,convex,smooth,yellow,bruises,almond,free,close
edible,convex,smooth,yellow,bruises,almond,free,close
edible,convex,smooth,yellow,bruises,almond,free,close
edible,convex,smooth,yellow,bruises,almond,free,close
edible,convex,smooth,yellow,bruises,almond,free,close
edible,convex,smooth,yellow,bruises,almond,free,close
edible,convex,smooth,yellow,bruises,almond,free,close
edible,convex,smooth,yellow,bruises,almond,free,close
edible,convex,smooth,yellow,bruises,almond,free,close
edible,convex,smooth,yellow,bruises,almond,free,close
edible,convex,smooth,yellow,bruises,almond,free,close
edible,convex,smooth,yellow,bruises,anise,free,close
edible,convex,smooth,yellow,bruises,anise,free,close
edible,convex,smooth,yellow,bruises,anise,free,close
edible,convex,smooth,yellow,bruises,anise,free,close
edible,convex,smooth,yellow,bruises,anise,free,close
edible,convex,smooth,yellow,bruises,anise,free,close
edible,convex,smooth,yellow,bruises,anise,free,close
edible,convex,smooth,yellow,bruises,anise,free,close
edible,convex,smooth,yellow,bruises,anise,free,close
edible,convex,smooth,yellow,bruises,anise,free,close
edible,convex,smooth,yellow,bruises,anise,free,close
edible,convex,smooth,yellow,bruises,anise,free,close
edible,convex,smooth,yellow,bruises,anise,free,close
edible,convex,smooth,yellow,bruises,anise,free,close
edible,convex,smooth,yellow,bruises,anise,free,close
edible,convex,smooth,yellow,bruises,anise,free,close
edible,convex,smooth,yellow,bruises,anise,free,close
edible,convex,smooth,yellow,bruises,anise,free,close
edible,convex,smooth,yellow,bruises,anise,free,close
edible,convex,smooth,yellow,bruises,anise,free,close
edible,convex,smooth,yellow,bruises,anise,free,close
edible,convex,smooth,yellow,bruises,anise,free,close
edible,convex,smooth,yellow,bruises,anise,free,close
edible,convex,smooth,yellow,bruises,anise,free,close
edible,convex,smooth,yellow,bruises,anise,free,close
edible,convex,smooth,yellow,bruises,anise,free,close
edible,convex,smooth,yellow,bruises,anise,free,close
edible,convex,smooth,yellow,bruises,anise,free,close
edible,convex,smooth,yellow,bruises,anise,free,close
edible,convex,smooth,yellow,bruises,anise,free,close
edible,convex,smooth,yellow,bruises,anise,free,close
edible,convex,smooth,yellow,bruises,anise,free,close
edible,convex,scaly,white,bruises,almond,free,close
edible,convex,scaly,white,bruises,almond,free,close
edible,convex,scaly,white,bruises,almond,free,close
edible,convex,scaly,white,bruises,almond,free,close
edible,convex,scaly,white,bruises,almond,free,close
edible,convex,scaly,white,bruises,almond,free,close
edible,convex,scaly,white,bruises,almond,free,close
edible,convex,scaly,white,bruises,almond,free,close
edible,convex,scaly,white,bruises,almond,free,close
edible,convex,scaly,white,bruises,almond,free,close
edible,convex,scaly,white,bruises,almond,free,close
edible,convex,scaly,white,bruises,almond,free,close
edible,convex,scaly,white,bruises,almond,free,close
edible,convex,scaly,white,bruises,almond,free,close
edible,convex,scaly,white,bruises,almond,free,close
edible,convex,scaly,white,bruises,almond,free,close
edible,convex,scaly,white,bruises,almond,free,close
edible,convex,scaly,white,bruises,almond,free,close
edible,convex,scaly,white,bruises,almond,free,close
edible,convex,scaly,white,bruises,almond,free,close
edible,convex,scaly,white,bruises,almond,free,close
edible,convex,scaly,white,bruises,almond,free,close
edible,convex,scaly,white,bruises,almond,free,close
edible,convex,scaly,white,bruises,almond,free,close
edible,convex,scaly,white,bruises,almond,free,close
edible,convex,scaly,white,bruises,almond,free,close
edible,convex,scaly,white,bruises,almond,free,close
edible,convex,scaly,white,bruises,almond,free,close
edible,convex,scaly,white,bruises,almond,free,close
edible,convex,scaly,white,bruises,almond,free,close
edible,convex,scaly,white,bruises,almond,free,close
edible,convex,scaly,white,bruises,almond,free,close
edible,convex,scaly,white,bruises,anise,free,close
edible,convex,scaly,white,bruises,anise,free,close
edible,convex,scaly,white,bruises,anise,free,close
edible,convex,scaly,white,bruises,anise,free,close
edible,convex,scaly,white,bruises,anise,free,close
edible,convex,scaly,white,bruises,anise,free,close
edible,convex,scaly,white,bruises,anise,free,close
edible,convex,scaly,white,bruises,anise,free,close
edible,convex,scaly,white,bruises,anise,free,close
edible,convex,scaly,white,bruises,anise,free,close
edible,convex,scaly,white,bruises,anise,free,close
edible,convex,scaly,white,bruises,anise,free,close
edible,convex,scaly,white,bruises,anise,free,close
edible,convex,scaly,white,bruises,anise,free,close
edible,convex,scaly,white,bruises,anise,free,close
edible,convex,scaly,white,bruises,anise,free,close
edible,convex,scaly,white,bruises,anise,free,close
edible,convex,scaly,white,bruises,anise,free,close
edible,convex,scaly,white,bruises,anise,free,close
edible,convex,scaly,white,bruises,anise,free,close
edible,convex,scaly,white,bruises,anise,free,close
edible,convex,scaly,white,bruises,anise,free,close
edible,convex,scaly,white,bruises,anise,free,close
edible,convex,scaly,white,bruises,anise,free,close
edible,convex,scaly,white,bruises,anise,free,close
edible,convex,scaly,white,bruises,anise,free,close
edible,convex,scaly,white,bruises,anise,free,close
edible,convex,scaly,white,bruises,anise,free,close
edible,convex,scaly,white,bruises,anise,free,close
edible,convex,scaly,white,bruises,anise,free,close
edible,convex,scaly,white,bruises,anise,free,close
edible,convex,scaly,white,bruises,anise,free,close
edible,convex,scaly,yellow,bruises,almond,free,close
edible,convex,scaly,yellow,bruises,almond,free,close
edible,convex,scaly,yellow,bruises,almond,free,close
edible,convex,scaly,yellow,bruises,almond,free,close
edible,convex,scaly,yellow,bruises,almond,free,close
edible,convex,scaly,yellow,bruises,almond,free,close
edible,convex,scaly,yellow,bruises,almond,free,close
edible,convex,scaly,yellow,bruises,almond,free,close
edible,convex,scaly,yellow,bruises,almond,free,close
edible,convex,scaly,yellow,bruises,almond,free,close
edible,convex,scaly,yellow,bruises,almond,free,close
edible,convex,scaly,yellow,bruises,almond,free,close
edible,convex,scaly,yellow,bruises,almond,free,close
edible,convex,scaly,yellow,bruises,almond,free,close
edible,convex,scaly,yellow,bruises,almond,free,close
edible,convex,scaly,yellow,bruises,almond,free,close
edible,convex,scaly,yellow,bruises,almond,free,close
edible,convex,scaly,yellow,bruises,almond,free,close
edible,convex,scaly,yellow,bruises,almond,free,close
edible,convex,scaly,yellow,bruises,almond,free,close
edible,convex,scaly,yellow,bruises,almond,free,close
edible,convex,scaly,yellow,bruises,almond,free,close
edible,convex,scaly,yellow,bruises,almond,free,close
edible,convex,scaly,yellow,bruises,almond,free,close
edible,convex,scaly,yellow,bruises,almond,free,close
edible,convex,scaly,yellow,bruises,almond,free,close
edible,convex,scaly,yellow,bruises,almond,free,close
