Ticket,Status,Prediction,Gender,Name
1st class,Survived,Correct,Male,"Bradley, Mr. George (George Arthur Brayton)"
1st class,Died,Correct,Male,"Brady, Mr. John Bertram"
1st class,Died,Wrong,Male,"Brandeis, Mr. Emil"
1st class,Died,Wrong,Male,"Brewe, Dr. Arthur Jackson"
1st class,Survived,Wrong,Female,"Brown, Mrs. James Joseph (Margaret Tobin)"
1st class,Survived,Correct,Female,"Brown, Mrs. John Murray (Caroline Lane Lamson)"
1st class,Survived,Correct,Female,"Bucknell, Mrs. William Robert (Emma Eliza Ward)"
1st class,Survived,Correct,Female,"Burns, Miss. Elizabeth Margaret"
1st class,Died,Correct,Male,"Butt, Major. Archibald Willingham"
1st class,Died,Correct,Male,"Cairns, Mr. Alexander"
1st class,Survived,Wrong,Male,"Calderhead, Mr. Edward Pennington"
1st class,Survived,Wrong,Female,"Candee, Mrs. Edward (Helen Churchill Hungerford)"
1st class,Survived,Correct,Male,"Cardeza, Mr. Thomas Drake Martinez"
1st class,Survived,Wrong,Female,"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)"
1st class,Died,Correct,Male,"Carlsson, Mr. Frans Olof"
1st class,Died,Correct,Male,"Carrau, Mr. Francisco M"
1st class,Died,Wrong,Male,"Carrau, Mr. Jose Pedro"
1st class,Survived,Correct,Male,"Carter, Master. William Thornton II"
1st class,Survived,Wrong,Female,"Carter, Miss. Lucile Polk"
1st class,Survived,Correct,Male,"Carter, Mr. William Ernest"
1st class,Survived,Correct,Female,"Carter, Mrs. William Ernest (Lucile Polk)"
1st class,Died,Wrong,Male,"Case, Mr. Howard Brown"
1st class,Survived,Correct,Female,"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)"
1st class,Died,Correct,Male,"Cavendish, Mr. Tyrell William"
1st class,Survived,Correct,Female,"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)"
1st class,Died,Correct,Male,"Chaffee, Mr. Herbert Fuller"
1st class,Survived,Correct,Female,"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)"
1st class,Survived,Correct,Male,"Chambers, Mr. Norman Campbell"
1st class,Survived,Correct,Female,"Chambers, Mrs. Norman Campbell (Bertha Griggs)"
1st class,Survived,Correct,Female,"Chaudanson, Miss. Victorine"
1st class,Survived,Correct,Female,"Cherry, Miss. Gladys"
1st class,Survived,Correct,Male,"Chevre, Mr. Paul Romaine"
1st class,Survived,Correct,Female,"Chibnall, Mrs. (Edith Martha Bowerman)"
1st class,Died,Correct,Male,"Chisholm, Mr. Roderick Robert Crispin"
1st class,Died,Correct,Male,"Clark, Mr. Walter Miller"
1st class,Survived,Correct,Female,"Clark, Mrs. Walter Miller (Virginia McDowell)"
1st class,Survived,Correct,Female,"Cleaver, Miss. Alice"
1st class,Died,Correct,Male,"Clifford, Mr. George Quincy"
1st class,Died,Correct,Male,"Colley, Mr. Edward Pomeroy"
1st class,Survived,Correct,Female,"Compton, Miss. Sara Rebecca"
1st class,Died,Correct,Male,"Compton, Mr. Alexander Taylor Jr"
1st class,Survived,Correct,Female,"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)"
1st class,Survived,Correct,Female,"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)"
1st class,Died,Correct,Male,"Crafton, Mr. John Bertram"
1st class,Died,Correct,Male,"Crosby, Capt. Edward Gifford"
1st class,Survived,Correct,Female,"Crosby, Miss. Harriet R"
1st class,Survived,Correct,Female,"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)"
1st class,Died,Correct,Male,"Cumings, Mr. John Bradley"
1st class,Survived,Correct,Female,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)"
1st class,Survived,Wrong,Male,"Daly, Mr. Peter Denis "
1st class,Survived,Wrong,Male,"Daniel, Mr. Robert Williams"
1st class,Survived,Wrong,Female,"Daniels, Miss. Sarah"
1st class,Died,Correct,Male,"Davidson, Mr. Thornton"
1st class,Survived,Wrong,Female,"Davidson, Mrs. Thornton (Orian Hays)"
1st class,Survived,Wrong,Male,"Dick, Mr. Albert Adrian"
1st class,Survived,Correct,Female,"Dick, Mrs. Albert Adrian (Vera Gillespie)"
1st class,Survived,Correct,Male,"Dodge, Dr. Washington"
1st class,Survived,Correct,Male,"Dodge, Master. Washington"
1st class,Survived,Wrong,Female,"Dodge, Mrs. Washington (Ruth Vidaver)"
1st class,Died,Correct,Male,"Douglas, Mr. Walter Donald"
1st class,Survived,Correct,Female,"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)"
1st class,Survived,Wrong,Female,"Douglas, Mrs. Walter Donald (Mahala Dutton)"
1st class,Survived,Correct,Female,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (Mrs Morgan)"
