"sex","class","age","survived"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","2nd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","3rd","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
"Male","Crew","Adult","No"
