STATUS,CLASS,SEX,EMBARKED
Survived,3rd-class,Female,Queenstown
Survived,3rd-class,Female,Queenstown
Survived,3rd-class,Male,Queenstown
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Female,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Female,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Female,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Female,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Female,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Female,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Female,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Female,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Male,Southampton
Survived,1st-class,Male,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Male,Southampton
Survived,1st-class,Male,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Male,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Male,Southampton
Survived,1st-class,Male,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Male,Southampton
Survived,1st-class,Male,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Male,Southampton
Survived,1st-class,Male,Southampton
Survived,1st-class,Male,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Male,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Male,Southampton
Survived,1st-class,Male,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Male,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Male,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Male,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Male,Southampton
Survived,1st-class,Male,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Male,Southampton
Survived,1st-class,Male,Southampton
Survived,1st-class,Male,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Male,Southampton
Survived,1st-class,Male,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Male,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Male,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Male,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Female,Southampton
Survived,1st-class,Female,Southampton
Survived,2nd-class,Female,Southampton
Survived,2nd-class,Male,Southampton
Survived,2nd-class,Male,Southampton
Survived,2nd-class,Female,Southampton
Survived,2nd-class,Female,Southampton
Survived,2nd-class,Female,Southampton
Survived,2nd-class,Female,Southampton
Survived,2nd-class,Male,Southampton
Survived,2nd-class,Female,Southampton
Survived,2nd-class,Female,Southampton
Survived,2nd-class,Female,Southampton
Survived,2nd-class,Female,Southampton
Survived,2nd-class,Female,Southampton
Survived,2nd-class,Male,Southampton
Survived,2nd-class,Female,Southampton
Survived,2nd-class,Male,Southampton
Survived,2nd-class,Female,Southampton
Survived,2nd-class,Male,Southampton
Survived,2nd-class,Female,Southampton
Survived,2nd-class,Female,Southampton
Survived,2nd-class,Female,Southampton
Survived,2nd-class,Female,Southampton
Survived,2nd-class,Male,Southampton
Survived,2nd-class,Female,Southampton
Survived,2nd-class,Female,Southampton
Survived,2nd-class,Female,Southampton
Survived,2nd-class,Male,Southampton
Survived,2nd-class,Female,Southampton
Survived,2nd-class,Female,Southampton
Survived,2nd-class,Female,Southampton
Survived,2nd-class,Female,Southampton
Survived,2nd-class,Male,Southampton
Survived,2nd-class,Female,Southampton
Survived,2nd-class,Female,Southampton
Survived,2nd-class,Female,Southampton
Survived,2nd-class,Female,Southampton
Survived,2nd-class,Female,Southampton
Survived,2nd-class,Female,Southampton
Survived,2nd-class,Female,Southampton
Survived,2nd-class,Female,Southampton
Survived,2nd-class,Female,Southampton
Survived,2nd-class,Female,Southampton
Survived,2nd-class,Female,Southampton
Survived,2nd-class,Female,Southampton
Survived,2nd-class,Female,Southampton
Survived,2nd-class,Female,Southampton
Survived,2nd-class,Female,Southampton
Survived,2nd-class,Female,Southampton
